Date,VGK,EZU,HEDJ,IEUR,FEZ,EWG,IEV,EWU,HEZU,EWP,EWL,DBEU,DFE,EUFN,FEP,EWQ,FDD,GREK,EWI,EWD,HEWG,FEU,IEUS,FSZ,GVAL,FGM,EWN,EUSC,NORW,EWO,EDEN,EIRL,FEUZ,DXGE,EWUS,EWK,EURL,ADRD,EUDG,EWGS,WBIA,DBEZ,ENOR,EUMV,EFNL,OEUR,PGAL,GXF,DBGR,SMEZ,EPV,HEWU,DAX,ADRU,HEWP,EUDV,HFXE,ZGBR,FKU,ZDEU,UPV,HEWL,EDOM,DBUK,GRMY,HEWI,EURZ
2017-01-01,46.315792,33.636856,54.83424399999999,39.461731,32.129837,26.294836,37.702789,28.874859000000004,25.234396,25.857025,29.359959000000003,24.076414,53.070774,18.043022,29.322815000000002,23.908028,11.063310000000001,7.235005999999999,22.272209,28.208565000000004,25.047169,28.434765000000002,43.180256,40.980915,20.064903,36.452206,23.807241,25.279135,10.821391,16.483366,51.814629,37.502888,32.737716999999996,27.369631,33.318634,16.879935999999997,21.20717,18.883572,20.956732000000002,41.715881,22.972519000000002,25.686993,21.796719,20.368605,31.063969,20.596783,8.546933000000001,18.479657999999997,24.59149,46.168834999999994,48.155388,20.835688,24.715734,18.210688,18.996338,33.559878999999995,16.581215,,31.34145,,37.799572,21.318945000000003,22.114269,18.72887,20.236971,13.298243,20.557752999999998
2017-02-01,46.587917,33.703476,56.906166000000006,39.706542999999996,32.29039,26.304392,37.948837,29.297192,25.785864,25.687654000000002,29.656139000000003,24.662948999999998,53.341778000000005,17.566517,29.428606,23.812435,11.165403999999999,7.368810000000001,22.187773,28.032839000000003,25.54353,28.722922999999998,43.750919,41.801303999999995,20.196047,36.509792,24.490473,25.810209,10.589571000000001,16.436132,51.468426,38.135231,32.39077,27.862949,33.695969,16.936802,21.499952,19.198452,21.378168,42.184708,23.482866,26.222934999999996,21.340837,20.751923,31.354554999999998,20.937407999999998,8.769414,18.367943,25.072357,46.46497,47.596371000000005,21.384956,24.839504,18.580633,19.211672,34.660999,16.638556,,31.687092,,38.059132,21.984882,21.837957,19.281891,19.590797,13.468085,20.557752999999998
2017-03-01,48.3895,35.787941,59.971077,41.401394,34.330372,27.480061,39.604960999999996,29.884787,27.269119,28.613977000000002,30.55423,25.599518,55.192108,18.620323000000003,30.726925,25.341938,11.462405,7.607747,24.148552,29.198175,26.564890000000002,29.866262,45.215621999999996,43.297309999999996,20.645679,37.930256,25.799196,27.306875,10.385569,17.163477,53.27636,38.97187,34.500481,28.868559,34.516674,17.780325,24.418013000000002,19.485554,22.186552,44.538399,23.206551,27.696777,20.846972,21.55443,32.76059,21.909451999999998,9.511013,18.96376,26.091793,49.493217,43.453648,21.687057,26.020070999999998,18.978329000000002,21.321028,35.790828999999995,17.220402,,32.555878,,41.750645,22.65082,23.399448,19.58605,20.814610000000002,14.601901000000002,20.557752999999998
2017-04-01,50.548161,37.348904,61.99927099999999,43.025616,35.798573,28.368982,41.02449,30.389751,27.925177,30.034798,31.758057,26.02523,59.051628,19.500025,32.601608,26.785406,11.803882000000002,8.190752,24.814655,30.622477000000003,26.879889000000002,30.942678000000004,48.268677000000004,45.584751000000004,21.376333,39.467083,27.021317,28.455923,10.394842,18.504820000000002,57.209582999999995,41.0051,36.209095,29.181623,37.073112,18.424816,27.111607,19.934198000000002,23.460712,47.064312,23.741062,28.456669,20.970438,22.271969,35.150845000000004,22.550451000000002,9.631523,19.959892,26.418781,51.996059,40.019684000000005,21.311722,26.734122999999997,19.553078,21.973585,37.719485999999996,17.862171,,34.545029,,45.12492,23.401676000000002,23.472885,19.475445,21.372669000000002,14.716660000000001,20.557752999999998
2017-05-01,53.029334999999996,39.195408,62.439129,45.120644,37.416752,29.649791999999998,42.955059000000006,31.776114,28.467136,31.399157000000002,33.372707,26.782053,61.518738,20.068165,34.027023,28.095039,12.603828,8.821546000000001,26.14686,31.491858,27.299887,32.666924,50.208939,48.113479999999996,21.985212,41.782463,28.339663,29.218742,10.710118,19.987848,60.181132999999996,42.464363,38.08976,29.727118,37.535346999999994,19.211470000000002,31.005608000000002,20.745367,24.758213,51.121094,23.228809,29.055777000000003,21.521292000000003,23.858101,37.231773,23.913629999999998,10.716111999999999,20.965335999999997,26.822709999999997,55.167598999999996,36.266281,22.373644,27.914690000000004,20.485064,22.319994,39.550819,18.446886,,35.201423999999996,,48.902954,24.036327,25.978985,20.231237,22.616062,15.074707,22.074070000000003
2017-06-01,52.019882,38.386368,59.599247,44.131977,36.404209,28.932921999999998,41.942459,30.600924,27.868128000000002,30.900463000000002,32.780353999999996,25.902245,60.303870999999994,20.104817999999998,33.497299,27.4928,12.157346,9.662603,26.081186,31.371624,26.717616999999997,31.814175,49.495609,47.071106,22.106991,41.647953,27.839268,28.465582,10.673026,20.063416,60.267681,42.357346,37.564877,28.650358,36.412777,18.566978,30.361486,20.428358,24.133492,49.867702,23.736139,27.926468,20.989433,23.131123000000002,36.538128,23.510056,10.428742,21.151526999999998,25.986004,54.412921999999995,36.545788,21.824375,27.291084,20.093629999999997,21.861237,38.73008,18.079082,,33.822994,,48.066596999999994,24.16147,25.777029000000002,19.816473000000002,22.100103,15.083889000000001,21.725122
2017-07-01,54.249598999999996,40.242233,60.355698,46.136265,38.2313,29.919528999999997,43.864758,32.017185,27.421249,32.415749,33.633392,26.340637,64.018631,21.823083999999998,35.244820000000004,28.624599,12.613493,9.729506,28.422106,32.294277,25.648529,32.922829,52.183353000000004,48.901405,23.627804,43.834156,29.939037,28.988287,11.859948,21.905403,64.128273,43.075592,39.809074,28.804983,38.401928000000005,20.048544,32.957489,21.283058,24.803259,53.879364,23.511206,28.436071000000002,23.855520000000002,23.917645999999998,38.178467,23.796375,10.901511,21.756657,25.764252,57.614964,34.619171,21.549738,28.137386,20.84947,21.73016,39.326954,18.553957,,35.722977,,50.998657,23.74135,27.581878999999997,19.958641,22.390881,15.230779,21.725122
2017-08-01,54.287872,40.435565999999994,60.08316800000001,46.107548,38.279427,29.968245,43.826206,31.754446,27.819810999999998,32.016842,33.477276,26.407759000000002,63.88559,21.306171,35.546555,28.877398,12.537564,9.815522999999999,28.928279999999997,32.833302,26.117981,32.732197,52.067799,49.244609999999994,24.092957000000002,45.129124,29.841641999999997,28.875815999999997,12.101042,21.982094,65.939636,42.94812,40.352455,28.853316999999997,38.077293,19.874962,32.752541,21.093876,25.081882,55.572768999999994,22.608908,28.450674,24.330498000000002,24.061901000000002,38.380974,23.88862,11.031291,22.119732,25.686356,58.492644999999996,34.439487,22.36795,28.266403000000004,20.679192999999998,21.596828,39.00666,18.424221,,35.457096,,50.873684000000004,23.958273000000002,27.451157000000002,20.320683,22.723757,15.847911999999999,21.725122
2017-09-01,55.809162,41.875896000000004,62.97393,47.562767,39.703957,31.595259000000002,45.175594,32.702197999999996,29.065042,32.045338,34.179798,27.174870000000002,66.01416800000001,22.067439999999998,36.704838,30.044161,12.945675999999999,9.041367999999999,29.950176000000003,33.930264,27.744267999999998,33.94273,54.128551,50.372271999999995,23.950563,46.521458,30.572102,30.054321,12.564684,22.451838000000002,66.134407,45.379883,41.599789,30.488821,39.82457,20.424635000000002,35.807228,21.614128,25.789598,58.582195,23.936167,29.725746,25.251373,24.321562,39.046378999999995,24.162958,11.6153,22.520046,27.273495,60.735282999999995,32.273296,22.049345000000002,29.801028999999996,21.190025,21.776487,40.167858,19.011843,,36.169277,,54.257571999999996,24.519901,28.641640000000002,20.116455,23.51679,16.525896,21.725122
2017-10-01,56.290031000000006,42.368896,64.65864599999999,47.668079,40.226559,32.218784,45.406921000000004,32.899258,29.83728,32.140312,33.691933,27.759790000000002,66.25071,21.757296,37.311531,30.520588,13.036328999999999,8.859776,29.568159,33.646568,28.698615999999998,33.983204,54.677443999999994,50.43111,23.950377,48.035137,30.874025,30.61417,12.527593,22.864065,66.631073,45.615219,42.054210999999995,31.849417,40.578857,20.598215,36.080494,21.897865,26.036929999999998,59.617592,24.917461,30.446018,25.280455,24.465818,37.947021,24.064423,11.568951,22.222139000000002,28.208252,60.43981899999999,31.993784,22.555363,30.551851,21.359146,22.192536999999998,40.712115999999995,19.352396,,37.36116,,55.09393299999999,24.967379,28.669794,20.459929000000002,23.761551,16.582396,23.493189
