,Date,Value
646,2016-08-31,0.51
647,2016-09-01,0.51
648,2016-09-02,0.52
649,2016-09-05,0
650,2016-09-06,0.52
651,2016-09-07,0.49
652,2016-09-08,0.51
653,2016-09-09,0.51
654,2016-09-12,0.49
655,2016-09-13,0.49
656,2016-09-14,0.52
657,2016-09-15,0.57
658,2016-09-16,0.57
659,2016-09-19,0.56
660,2016-09-20,0.57
661,2016-09-21,0.64
662,2016-09-22,0.68
663,2016-09-23,0.67
664,2016-09-26,0.6
665,2016-09-27,0.59
666,2016-09-28,0.57
667,2016-09-29,0.59
668,2016-09-30,0.57
669,2016-10-03,0.54
670,2016-10-04,0.53
671,2016-10-05,0.55
672,2016-10-06,0.55
673,2016-10-07,0.56
674,2016-10-10,0
675,2016-10-11,0.53
676,2016-10-12,0.52
677,2016-10-13,0.59
678,2016-10-14,0.57
679,2016-10-17,0.54
680,2016-10-18,0.54
681,2016-10-19,0.54
682,2016-10-20,0.54
683,2016-10-21,0.55
684,2016-10-24,0.55
685,2016-10-25,0.55
686,2016-10-26,0.56
687,2016-10-27,0.6
688,2016-10-28,0.6
689,2016-10-31,0.54
690,2016-11-01,0.53
691,2016-11-02,0.52
692,2016-11-03,0.51
693,2016-11-04,0.51
694,2016-11-07,0.48
695,2016-11-08,0.45
696,2016-11-09,0.45
697,2016-11-10,0.43
698,2016-11-11,0
699,2016-11-14,0.37
700,2016-11-15,0.41
701,2016-11-16,0.45
702,2016-11-17,0.48
703,2016-11-18,0.49
704,2016-11-21,0.46
705,2016-11-22,0.44
706,2016-11-23,0.43
707,2016-11-24,0
708,2016-11-25,0.46
709,2016-11-28,0.46
710,2016-11-29,0.45
711,2016-11-30,0.45
712,2016-12-01,0.47
713,2016-12-02,0.47
714,2016-12-05,0.46
715,2016-12-06,0.46
716,2016-12-07,0.44
717,2016-12-08,0.45
718,2016-12-09,0.43
719,2016-12-12,0.45
720,2016-12-13,0.42
721,2016-12-14,0.43
722,2016-12-15,0.49
723,2016-12-16,0.5
724,2016-12-19,0.47
725,2016-12-20,0.48
726,2016-12-21,0.49
727,2016-12-22,0.5
728,2016-12-23,0.49
729,2016-12-26,0
730,2016-12-27,0
731,2016-12-28,0.48
732,2016-12-29,0.54
733,2016-12-30,0.5
734,2017-01-02,0
735,2017-01-03,0.47
736,2017-01-04,0.49
737,2017-01-05,0.5
738,2017-01-06,0.49
739,2017-01-09,0.51
740,2017-01-10,0.51
741,2017-01-11,0.51
742,2017-01-12,0.51
743,2017-01-13,0.5
744,2017-01-16,0
745,2017-01-17,0.48
746,2017-01-18,0.51
747,2017-01-19,0.53
748,2017-01-20,0.55
749,2017-01-23,0.53
750,2017-01-24,0.53
751,2017-01-25,0.55
752,2017-01-26,0.54
753,2017-01-27,0.53
754,2017-01-30,0.52
755,2017-01-31,0.51
756,2017-02-01,0.53
757,2017-02-02,0.52
758,2017-02-03,0.53
759,2017-02-06,0.51
760,2017-02-07,0.51
761,2017-02-08,0.5
762,2017-02-09,0.5
763,2017-02-10,0.5
764,2017-02-13,0.52
765,2017-02-14,0.5
766,2017-02-15,0.51
767,2017-02-16,0.54
768,2017-02-17,0.53
769,2017-02-20,0
770,2017-02-21,0.52
771,2017-02-22,0.53
772,2017-02-23,0.54
773,2017-02-24,0.54
774,2017-02-27,0.55
775,2017-02-28,0.53
776,2017-03-01,0.47
777,2017-03-02,0.44
778,2017-03-03,0.4
779,2017-03-06,0.38
780,2017-03-07,0.36
781,2017-03-08,0.39
782,2017-03-09,0.4
783,2017-03-10,0.39
784,2017-03-13,0.35
785,2017-03-14,0.37
786,2017-03-15,0.43
787,2017-03-16,0.43
788,2017-03-17,0.43
789,2017-03-20,0.41
790,2017-03-21,0.4
791,2017-03-22,0.4
792,2017-03-23,0.4
793,2017-03-24,0.38
794,2017-03-27,0.38
795,2017-03-28,0.38
796,2017-03-29,0.38
797,2017-03-30,0.38
798,2017-03-31,0.4
799,2017-04-03,0.37
800,2017-04-04,0.37
801,2017-04-05,0.36
802,2017-04-06,0.38
803,2017-04-07,0.35
804,2017-04-10,0
805,2017-04-11,0.35
806,2017-04-12,0.36
807,2017-04-13,0.36
808,2017-04-14,0
809,2017-04-17,0
810,2017-04-18,0.35
811,2017-04-19,0.36
812,2017-04-20,0.37
813,2017-04-21,0.38
814,2017-04-24,0.37
815,2017-04-25,0.36
816,2017-04-26,0.35
817,2017-04-27,0.37
818,2017-04-28,0.38
819,2017-05-01,0
820,2017-05-02,0.36
821,2017-05-03,0.33
822,2017-05-04,0.34
823,2017-05-05,0.3
824,2017-05-08,0.28
825,2017-05-09,0.28
826,2017-05-10,0.29
827,2017-05-11,0.31
828,2017-05-12,0.32
829,2017-05-15,0.29
830,2017-05-16,0.29
831,2017-05-17,0.29
832,2017-05-18,0.26
833,2017-05-19,0.29
834,2017-05-22,0.27
835,2017-05-23,0.28
836,2017-05-24,0.28
837,2017-05-25,0.28
838,2017-05-26,0.28
839,2017-05-29,0
840,2017-05-30,0.28
841,2017-05-31,0.25
842,2017-06-01,0.26
843,2017-06-02,0.26
844,2017-06-05,0.27
845,2017-06-06,0.26
846,2017-06-07,0.24
847,2017-06-08,0.24
848,2017-06-09,0.25
849,2017-06-12,0.27
850,2017-06-13,0.26
851,2017-06-14,0.26
852,2017-06-15,0.27
853,2017-06-16,0.26
854,2017-06-19,0.27
855,2017-06-20,0.29
856,2017-06-21,0.32
857,2017-06-22,0.36
858,2017-06-23,0.34
859,2017-06-26,0.31
860,2017-06-27,0.31
861,2017-06-28,0.3
862,2017-06-29,0.28
863,2017-06-30,0.29
864,2017-07-03,0.26
865,2017-07-04,0
866,2017-07-05,0.27
867,2017-07-06,0.28
868,2017-07-07,0.28
869,2017-07-10,0.27
870,2017-07-11,0.27
871,2017-07-12,0.27
872,2017-07-13,0.27
873,2017-07-14,0.28
874,2017-07-17,0.26
875,2017-07-18,0.26
876,2017-07-19,0.22
877,2017-07-20,0.18
878,2017-07-21,0.17
879,2017-07-24,0.16
880,2017-07-25,0.16
881,2017-07-26,0.2
882,2017-07-27,0.22
883,2017-07-28,0.25
884,2017-07-31,0.26
885,2017-08-01,0.25
886,2017-08-02,0.25
887,2017-08-03,0.25
888,2017-08-04,0.25
889,2017-08-07,0.3
890,2017-08-08,0.27
891,2017-08-09,0.27
892,2017-08-10,0.28
893,2017-08-11,0.3
894,2017-08-14,0.3
895,2017-08-15,0.29
896,2017-08-16,0.32
897,2017-08-17,0.34
898,2017-08-18,0.31
899,2017-08-21,0.32
900,2017-08-22,0.33
901,2017-08-23,0.34
902,2017-08-24,0.32
903,2017-08-25,0.31
904,2017-08-28,0
905,2017-08-29,0.31
906,2017-08-30,0.31
907,2017-08-31,0.33
908,2017-09-01,0.32
909,2017-09-04,0
910,2017-09-05,0.31
911,2017-09-06,0.27
912,2017-09-07,0.29
913,2017-09-08,0.29
914,2017-09-11,0.28
915,2017-09-12,0.3
916,2017-09-13,0.3
917,2017-09-14,0.29
918,2017-09-15,0.29
919,2017-09-18,0.28
920,2017-09-19,0.3
921,2017-09-20,0.3
922,2017-09-21,0.31
923,2017-09-22,0.32
924,2017-09-25,0.29
925,2017-09-26,0.28
926,2017-09-27,0.28
927,2017-09-28,0.29
928,2017-09-29,0.29
929,2017-10-02,0.34
930,2017-10-03,0.29
931,2017-10-04,0.29
932,2017-10-05,0.3
933,2017-10-06,0.3
934,2017-10-09,0
935,2017-10-10,0.3
936,2017-10-11,0.28
937,2017-10-12,0.29
938,2017-10-13,0.28
939,2017-10-16,0.26
940,2017-10-17,0.29
941,2017-10-18,0.29
942,2017-10-19,0.28
943,2017-10-20,0.27
944,2017-10-23,0.29
945,2017-10-24,0.27
946,2017-10-25,0.27
947,2017-10-26,0.29
948,2017-10-27,0.3
949,2017-10-30,0.28
950,2017-10-31,0.25
951,2017-11-01,0.22
952,2017-11-02,0.24
953,2017-11-03,0.23
954,2017-11-06,0.23
955,2017-11-07,0.2
956,2017-11-08,0.2
957,2017-11-09,0.19
958,2017-11-10,0.2
959,2017-11-13,0.2
960,2017-11-14,0.18
961,2017-11-15,0.19
962,2017-11-16,0.19
963,2017-11-17,0.18
964,2017-11-20,0.17
965,2017-11-21,0.17
966,2017-11-22,0.19
967,2017-11-23,0
968,2017-11-24,0.21
969,2017-11-27,0.23
970,2017-11-28,0.2
971,2017-11-29,0.21
972,2017-11-30,0.24
973,2017-12-01,0.24
974,2017-12-04,0.23
975,2017-12-05,0.24
976,2017-12-06,0.24
977,2017-12-07,0.27
978,2017-12-08,0.29
979,2017-12-11,0.25
980,2017-12-12,0.25
981,2017-12-13,0.31
982,2017-12-14,0.3
983,2017-12-15,0.32
984,2017-12-18,0.27
985,2017-12-19,0.29
986,2017-12-20,0.3
987,2017-12-21,0.34
988,2017-12-22,0.38
989,2017-12-25,0
990,2017-12-26,0
991,2017-12-27,0.27
992,2017-12-28,0.32
993,2017-12-29,0.32
994,2018-01-01,0
995,2018-01-02,0.28
996,2018-01-03,0.31
997,2018-01-04,0.31
998,2018-01-05,0.33
999,2018-01-08,0.28
1000,2018-01-09,0.28
1001,2018-01-10,0.31
1002,2018-01-11,0.31
1003,2018-01-12,0.31
1004,2018-01-15,0
1005,2018-01-16,0.3
1006,2018-01-17,0.32
1007,2018-01-18,0.31
1008,2018-01-19,0.32
1009,2018-01-22,0.31
1010,2018-01-23,0.33
1011,2018-01-24,0.34
1012,2018-01-25,0.36
1013,2018-01-26,0.38
1014,2018-01-29,0.34
1015,2018-01-30,0.35
1016,2018-01-31,0.34
1017,2018-02-01,0.33
1018,2018-02-02,0.33
1019,2018-02-05,0.3
1020,2018-02-06,0.29
1021,2018-02-07,0.27
1022,2018-02-08,0.28
1023,2018-02-09,0.29
1024,2018-02-12,0.22
1025,2018-02-13,0.27
1026,2018-02-14,0.29
1027,2018-02-15,0.31
1028,2018-02-16,0.29
1029,2018-02-19,0
1030,2018-02-20,0.26
1031,2018-02-21,0.3
1032,2018-02-22,0.33
1033,2018-02-23,0.35
1034,2018-02-26,0.33
1035,2018-02-27,0.37
1036,2018-02-28,0.39
1037,2018-03-01,0.42
1038,2018-03-02,0.41
1039,2018-03-05,0.36
1040,2018-03-06,0.4
1041,2018-03-07,0.41
1042,2018-03-08,0.43
1043,2018-03-09,0.45
1044,2018-03-12,0.43
1045,2018-03-13,0.42
1046,2018-03-14,0.42
1047,2018-03-15,0.44
1048,2018-03-16,0.45
1049,2018-03-19,0.45
1050,2018-03-20,0.47
1051,2018-03-21,0.56
1052,2018-03-22,0.6
1053,2018-03-23,0.58
1054,2018-03-26,0.53
1055,2018-03-27,0.56
1056,2018-03-28,0.61
1057,2018-03-29,0.61
1058,2018-03-30,0
1059,2018-04-02,0
1060,2018-04-03,0.6
1061,2018-04-04,0.64
1062,2018-04-05,0.64
1063,2018-04-06,0.64
1064,2018-04-09,0.61
1065,2018-04-10,0.63
1066,2018-04-11,0.64
1067,2018-04-12,0.63
1068,2018-04-13,0.62
1069,2018-04-16,0.6
1070,2018-04-17,0.59
1071,2018-04-18,0.58
1072,2018-04-19,0.57
1073,2018-04-20,0.58
1074,2018-04-23,0.52
1075,2018-04-24,0.52
1076,2018-04-25,0.55
1077,2018-04-26,0.57
